P,t,iter,vx,vy,pen_factor,v_mag,vel_mag_in,v_coll,v_ang,ang_acc,ang_diff,imomx,imomy,imom,tot_area,cur_area,area_diff,vx_rel,vy_rel,v_rel,col_acc_x,col_acc_y,col_acc_mag,p_mom_x,p_mom_y,p_mom
2,0.0050,1,-1.0000,0.0000,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.0100,2,-1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.0150,3,-1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.0200,4,-1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.0250,5,-1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.0300,6,-1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.0350,7,-1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.0400,8,-1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.0450,9,-1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.0500,10,-1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.0550,11,-1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.0600,12,-1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.0650,13,-1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.0700,14,-1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.0750,15,-1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.0800,16,-1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.0850,17,-1.0000,0.0000,0.00000000,1.00000000,1.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.0900,18,-0.9996,-0.0003,0.00000000,0.99962754,1.00000000,0.0000,3.1419,0.00000000,0.00000000,0.0000,0.0000,0.00037246,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.0950,19,-0.9986,-0.0011,0.00000000,0.99859545,1.00000000,0.0000,3.1427,0.00000000,0.00000000,0.0000,0.0000,0.00140455,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.1000,20,-0.9967,-0.0026,0.00000000,0.99674203,1.00000000,0.0000,3.1442,0.00000000,0.00000000,0.0000,0.0000,0.00325797,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.1050,21,-0.9939,-0.0049,0.00000000,0.99395923,1.00000000,0.0000,3.1466,0.00000000,0.00000000,0.0000,0.0000,0.00604077,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.1100,22,-0.9901,-0.0082,0.00000000,0.99017643,1.00000000,0.0000,3.1499,0.00000000,0.00000000,0.0000,0.0000,0.00982357,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.1150,23,-0.9853,-0.0125,0.00000000,0.98535358,1.00000000,0.0000,3.1542,0.00000000,0.00000000,0.0000,0.0000,0.01464642,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.1200,24,-0.9793,-0.0178,0.00000000,0.97947767,1.00000000,0.0000,3.1598,0.00000000,0.00000000,0.0000,0.0000,0.02052233,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.1250,25,-0.9723,-0.0244,0.00000000,0.97256059,1.00000000,0.0000,3.1667,0.00000000,0.00000000,0.0000,0.0000,0.02743941,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.1300,26,-0.9641,-0.0322,0.00000000,0.96463767,1.00000000,0.0000,3.1750,0.00000000,0.00000000,0.0000,0.0000,0.03536233,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.1350,27,-0.9549,-0.0413,0.00000000,0.95576650,1.00000000,0.0000,3.1848,0.00000000,0.00000000,0.0000,0.0000,0.04423350,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.1400,28,-0.9446,-0.0517,0.00000000,0.94602579,1.00000000,0.0000,3.1963,0.00000000,0.00000000,0.0000,0.0000,0.05397421,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
