P,t,iter,vx,vy,pen_factor,v_mag,vel_mag_in,imom,v_ang,imomx,imomy,cur_area,area_diff,vx_rel,vy_rel,v_rel,col_acc_x,col_acc_y,col_acc_mag
1,0.0030,1,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0060,2,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0090,3,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0120,4,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0150,5,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0180,6,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0210,7,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0240,8,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0270,9,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0300,10,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0330,11,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0360,12,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0390,13,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0420,14,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0450,15,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.0480,16,-1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
