P,t,iter,vx,vy,pen_factor,v_mag,vel_mag_in,v_coll,v_ang,ang_acc,ang_diff,imomx,imomy,imom,tot_area,cur_area,area_diff,vx_rel,vy_rel,v_rel,col_acc_x,col_acc_y,col_acc_mag,p_mom_x,p_mom_y,p_mom
0,0.0050,1,1.0000,0.0000,0.00000000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0100,2,1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0150,3,1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0200,4,1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0250,5,1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0300,6,1.0000,0.0000,0.00000000,1.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.0350,7,1.0000,0.0000,0.00338510,1.00000000,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00000000,-0.00066466,0.00066466,-0.00066466,2.00000000,0.00000000,2.00000000,-0.00132933,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000
0,0.0400,8,0.9987,0.0000,0.00953607,0.99867067,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00132933,-0.00187240,0.00187240,-0.00120774,2.00000000,0.00000000,2.00000000,-0.00374481,0.00000000,0.00000000,0.99867067,0.00000000,0.99867067
0,0.0450,9,0.9949,0.0000,0.01742728,0.99492587,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.00507413,-0.00342184,0.00342184,-0.00154943,2.00000000,0.00000000,2.00000000,-0.00684368,0.00000000,0.00000000,0.99492587,0.00000000,0.99492587
0,0.0500,10,0.9881,0.0000,0.02665148,0.98808219,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.01191781,-0.00523301,0.00523301,-0.00181117,2.00000000,0.00000000,2.00000000,-0.01046601,0.00000000,0.00000000,0.98808219,0.00000000,0.98808219
0,0.0550,11,0.9776,0.0000,0.03693513,0.97761618,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.02238382,-0.00725220,0.00725220,-0.00201919,2.00000000,0.00000000,2.00000000,-0.01450439,0.00000000,0.00000000,0.97761618,0.00000000,0.97761618
0,0.0600,12,0.9631,0.0000,0.04805688,0.96311179,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.03688821,-0.00943595,0.00943595,-0.00218375,2.00000000,0.00000000,2.00000000,-0.01887189,0.00000000,0.00000000,0.96311179,0.00000000,0.96311179
0,0.0650,13,0.9442,0.0000,0.05981924,0.94423990,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.05576010,-0.01174548,0.01174548,-0.00230953,2.00000000,0.00000000,2.00000000,-0.02349096,0.00000000,0.00000000,0.94423990,0.00000000,0.94423990
0,0.0700,14,0.9207,0.0000,0.07203635,0.92074894,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.07925106,-0.01414430,0.01414430,-0.00239882,2.00000000,0.00000000,2.00000000,-0.02828861,0.00000000,0.00000000,0.92074894,0.00000000,0.92074894
0,0.0750,15,0.8925,0.0000,0.08452838,0.89246033,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.10753967,-0.01659711,0.01659711,-0.00245281,2.00000000,0.00000000,2.00000000,-0.03319422,0.00000000,0.00000000,0.89246033,0.00000000,0.89246033
0,0.0800,16,0.8593,0.0000,0.09711924,0.85926611,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.14073389,-0.01906932,0.01906932,-0.00247221,2.00000000,0.00000000,2.00000000,-0.03813864,0.00000000,0.00000000,0.85926611,0.00000000,0.85926611
0,0.0850,17,0.8211,0.0000,0.10963595,0.82112747,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.17887253,-0.02152697,0.02152697,-0.00245765,2.00000000,0.00000000,2.00000000,-0.04305394,0.00000000,0.00000000,0.82112747,0.00000000,0.82112747
0,0.0900,18,0.7781,0.0000,0.12190911,0.77807354,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.22192646,-0.02393680,0.02393680,-0.00240983,2.00000000,0.00000000,2.00000000,-0.04787360,0.00000000,0.00000000,0.77807354,0.00000000,0.77807354
0,0.0950,19,0.7302,0.0000,0.13377405,0.73019994,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.26980006,-0.02626647,0.02626647,-0.00232967,2.00000000,0.00000000,2.00000000,-0.05253295,0.00000000,0.00000000,0.73019994,0.00000000,0.73019994
0,0.1000,20,0.6777,0.0000,0.14507222,0.67766700,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.32233300,-0.02848486,0.02848486,-0.00221839,2.00000000,0.00000000,2.00000000,-0.05696973,0.00000000,0.00000000,0.67766700,0.00000000,0.67766700
0,0.1050,21,0.6207,0.0000,0.15565295,0.62069727,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.37930273,-0.03056239,0.03056239,-0.00207752,2.00000000,0.00000000,2.00000000,-0.06112477,0.00000000,0.00000000,0.62069727,0.00000000,0.62069727
0,0.1100,22,0.5596,0.0000,0.16537517,0.55957250,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.44042750,-0.03247134,0.03247134,-0.00190895,2.00000000,0.00000000,2.00000000,-0.06494268,0.00000000,0.00000000,0.55957250,0.00000000,0.55957250
0,0.1150,23,0.4946,0.0000,0.17410920,0.49462982,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.50537018,-0.03418626,0.03418626,-0.00171492,2.00000000,0.00000000,2.00000000,-0.06837252,0.00000000,0.00000000,0.49462982,0.00000000,0.49462982
0,0.1200,24,0.4263,0.0000,0.18173848,0.42625730,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.57374270,-0.03568427,0.03568427,-0.00149800,2.00000000,0.00000000,2.00000000,-0.07136853,0.00000000,0.00000000,0.42625730,0.00000000,0.42625730
0,0.1250,25,0.3549,0.0000,0.18816106,0.35488876,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.64511124,-0.03694534,0.03694534,-0.00126107,2.00000000,0.00000000,2.00000000,-0.07389068,0.00000000,0.00000000,0.35488876,0.00000000,0.35488876
0,0.1300,26,0.2810,0.0000,0.19329107,0.28099809,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.71900191,-0.03795261,0.03795261,-0.00100727,2.00000000,0.00000000,2.00000000,-0.07590522,0.00000000,0.00000000,0.28099809,0.00000000,0.28099809
0,0.1350,27,0.2051,0.0000,0.19705985,0.20509286,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.79490714,-0.03869261,0.03869261,-0.00074000,2.00000000,0.00000000,2.00000000,-0.07738522,0.00000000,0.00000000,0.20509286,0.00000000,0.20509286
0,0.1400,28,0.1277,0.0000,0.19941694,0.12770764,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.87229236,-0.03915542,0.03915542,-0.00046281,2.00000000,0.00000000,2.00000000,-0.07831085,0.00000000,0.00000000,0.12770764,0.00000000,0.12770764
0,0.1450,29,0.0494,0.0000,0.20033077,0.04939679,1.00000000,0.0000,0.0000,0.00000000,0.00000000,0.0000,0.0000,0.95060321,-0.03933485,0.03933485,-0.00017943,2.00000000,0.00000000,2.00000000,-0.07866971,0.00000000,0.00000000,0.04939679,0.00000000,0.04939679
0,0.1500,30,-0.0293,0.0000,0.19978908,0.02927292,1.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.97072708,-0.03922850,0.03922850,0.00010636,2.00000000,0.00000000,2.00000000,-0.07845699,0.00000000,0.00000000,-0.02927292,0.00000000,0.02927292
0,0.1550,31,-0.1077,0.0000,0.19779915,0.10772991,1.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.89227009,-0.03883777,0.03883777,0.00039072,2.00000000,0.00000000,2.00000000,-0.07767555,0.00000000,0.00000000,-0.10772991,0.00000000,0.10772991
0,0.1600,32,-0.1854,0.0000,0.19438763,0.18540545,1.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.81459455,-0.03816792,0.03816792,0.00066985,2.00000000,0.00000000,2.00000000,-0.07633584,0.00000000,0.00000000,-0.18540545,0.00000000,0.18540545
0,0.1650,33,-0.2617,0.0000,0.18960019,0.26174130,1.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.73825870,-0.03722791,0.03722791,0.00094001,2.00000000,0.00000000,2.00000000,-0.07445582,0.00000000,0.00000000,-0.26174130,0.00000000,0.26174130
0,0.1700,34,-0.3362,0.0000,0.18350093,0.33619712,1.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.66380288,-0.03603032,0.03603032,0.00119759,2.00000000,0.00000000,2.00000000,-0.07206065,0.00000000,0.00000000,-0.33619712,0.00000000,0.33619712
0,0.1750,35,-0.4083,0.0000,0.17617142,0.40825776,1.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.59174224,-0.03459118,0.03459118,0.00143915,2.00000000,0.00000000,2.00000000,-0.06918235,0.00000000,0.00000000,-0.40825776,0.00000000,0.40825776
0,0.1800,36,-0.4774,0.0000,0.16770960,0.47744012,1.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.52255988,-0.03292970,0.03292970,0.00166147,2.00000000,0.00000000,2.00000000,-0.06585941,0.00000000,0.00000000,-0.47744012,0.00000000,0.47744012
0,0.1850,37,-0.5433,0.0000,0.15822845,0.54329952,1.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.45670048,-0.03106808,0.03106808,0.00186162,2.00000000,0.00000000,2.00000000,-0.06213617,0.00000000,0.00000000,-0.54329952,0.00000000,0.54329952
0,0.1900,38,-0.6054,0.0000,0.14785445,0.60543569,1.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.39456431,-0.02903115,0.02903115,0.00203693,2.00000000,0.00000000,2.00000000,-0.05806231,0.00000000,0.00000000,-0.60543569,0.00000000,0.60543569
0,0.1950,39,-0.6635,0.0000,0.13672591,0.66349800,1.00000000,0.0000,3.1416,0.00000000,0.00000000,0.0000,0.0000,0.33650200,-0.02684607,0.02684607,0.00218508,2.00000000,0.00000000,2.00000000,-0.05369214,0.00000000,0.00000000,-0.66349800,0.00000000,0.66349800
