frame_index,time,frame_dt,substeps,sub_dt,simulation_wall_ms,active_contact_count,pair_contact_count,wall_contact_count,bond_contact_count,collision_complete,frame_wall_ms,render_wall_ms
0,0.005,0.005,5,0.001,0.04529999569058418,0,0,0,0,0,18.737700069323182,18.692400073632598
1,0.01,0.005,5,0.001,0.04569999873638153,0,0,0,0,0,13.759800000116229,13.714100001379848
2,0.015,0.005,5,0.001,0.05119992420077324,0,0,0,0,0,17.106999875977635,17.055799951776862
3,0.02,0.005,5,0.001,0.04529999569058418,0,0,0,0,0,16.395699931308627,16.350399935618043
4,0.025,0.005,5,0.001,0.043800100684165955,0,0,0,0,0,16.018500085920095,15.97469998523593
5,0.030000000000000002,0.005,5,0.001,0.057800207287073135,0,0,0,0,0,16.08860003761947,16.0307998303324
6,0.035,0.005,5,0.001,0.042800093069672585,0,0,0,0,0,16.45589992403984,16.413099830970168
7,0.04,0.005,5,0.001,0.08469983004033566,0,0,0,0,0,18.043800024315715,17.95910019427538
8,0.045,0.005,5,0.001,0.060099875554442406,0,0,0,0,0,14.092799974605441,14.032700099050999
9,0.049999999999999996,0.005,5,0.001,0.04730001091957092,0,0,0,0,0,16.6767998598516,16.629499848932028
10,0.05499999999999999,0.005,5,0.001,0.04719989374279976,0,0,0,0,0,17.38810003735125,17.34090014360845
11,0.05999999999999999,0.005,5,0.001,0.0521000474691391,0,0,0,0,0,15.695400070399046,15.643300022929907
12,0.06499999999999999,0.005,5,0.001,0.0396000687032938,0,0,0,0,0,16.260799951851368,16.221199883148074
13,0.06999999999999999,0.005,5,0.001,0.03779982216656208,0,0,0,0,0,16.094099963083863,16.0563001409173
14,0.075,0.005,5,0.001,0.04169996827840805,0,0,0,0,0,16.502499813213944,16.460799844935536
15,0.08,0.005,5,0.001,0.04100007936358452,0,0,0,0,0,16.409600153565407,16.368600074201822
16,0.085,0.005,5,0.001,0.04119984805583954,0,0,0,0,0,16.091299941763282,16.050100093707442
17,0.09000000000000001,0.005,5,0.001,0.04219985567033291,0,0,0,0,0,16.721599968150258,16.679400112479925
18,0.09500000000000001,0.005,5,0.001,0.04220008850097656,0,0,0,0,0,15.228699892759323,15.186499804258347
19,0.10000000000000002,0.005,5,0.001,0.041899969801306725,0,0,0,0,0,16.446599969640374,16.404699999839067
20,0.10500000000000002,0.005,5,0.001,0.05100015550851822,0,0,0,0,0,16.941200010478497,16.89019985496998
21,0.11000000000000003,0.005,5,0.001,0.05719996988773346,0,0,0,0,0,16.788600012660027,16.731400042772293
22,0.11500000000000003,0.005,5,0.001,0.036999816074967384,0,0,0,0,0,16.423000022768974,16.386000206694007
23,0.12000000000000004,0.005,5,0.001,0.03909994848072529,0,0,0,0,0,16.11860003322363,16.079500084742904
24,0.12500000000000003,0.005,5,0.001,0.037899939343333244,0,0,0,0,0,16.30840008147061,16.270500142127275
