wx,wy,wz,dx,dy,dz,tot,sel,cols,collision,cdens,radius,vx,vy,vz,px,py,pz
1,1,1,102401,1,1,102400,s,15,0,0.03125,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.0625,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.09375,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.125,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.15625,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.1875,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.21875,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.25,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.28125,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.3125,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.34375,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.375,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.40625,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.4375,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.46875,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.5,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.53125,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.5625,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.59375,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.625,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.65625,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.6875,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.71875,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.75,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.78125,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.8125,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.84375,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.875,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.90625,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.9375,0.1,0,0,0,0,0,0
1,1,1,102401,1,1,102400,a,15,0,0.96875,0.1,0,0,0,0,0,0
,,,,,,,,,,1,,,,,,,
