wx,wy,wz,dx,dy,dz,tot,sel,cols,collision,cdens,radius,vx,vy,vz,px,py,pz,
1,1,1,1025,1,1,1024,s,42,3,0.5,0.2,0,0,0,0,0,0,1
1,1,1,2049,1,1,2048,s,42,6,0.5,0.2,0,0,0,0,0,0,2
1,1,1,3073,1,1,3072,s,42,9,0.5,0.2,0,0,0,0,0,0,3
1,1,1,4097,1,1,4096,s,42,12,0.5,0.2,0,0,0,0,0,0,4
1,1,1,5121,1,1,5120,s,42,15,0.5,0.2,0,0,0,0,0,0,5
1,1,1,6145,1,1,6144,s,42,18,0.5,0.2,0,0,0,0,0,0,6
1,1,1,7169,1,1,7168,s,42,21,0.5,0.2,0,0,0,0,0,0,7
1,1,1,8193,1,1,8192,s,42,24,0.5,0.2,0,0,0,0,0,0,8
1,1,1,9217,1,1,9216,s,42,27,0.5,0.2,0,0,0,0,0,0,9
1,1,1,10241,1,1,10240,s,42,30,0.5,0.2,0,0,0,0,0,0,10
1,1,1,11265,1,1,11264,s,42,33,0.5,0.2,0,0,0,0,0,0,11
1,1,1,12289,1,1,12288,s,42,36,0.5,0.2,0,0,0,0,0,0,12
1,1,1,13313,1,1,13312,s,42,39,0.5,0.2,0,0,0,0,0,0,13
1,1,1,14337,1,1,14336,s,42,42,0.5,0.2,0,0,0,0,0,0,14
1,1,1,15361,1,1,15360,s,42,45,0.5,0.2,0,0,0,0,0,0,15
1,1,1,16385,1,1,16384,s,42,48,0.5,0.2,0,0,0,0,0,0,16
1,1,1,17409,1,1,17408,s,42,51,0.5,0.2,0,0,0,0,0,0,17
1,1,1,18433,1,1,18432,s,42,54,0.5,0.2,0,0,0,0,0,0,18
1,1,1,19457,1,1,19456,s,42,57,0.5,0.2,0,0,0,0,0,0,19
1,1,1,20481,1,1,20480,s,42,60,0.5,0.2,0,0,0,0,0,0,20
1,1,1,21505,1,1,21504,s,42,63,0.5,0.2,0,0,0,0,0,0,21
1,1,1,22529,1,1,22528,s,42,66,0.5,0.2,0,0,0,0,0,0,22
1,1,1,23553,1,1,23552,s,42,69,0.5,0.2,0,0,0,0,0,0,23
1,1,1,24577,1,1,24576,s,42,72,0.5,0.2,0,0,0,0,0,0,24
1,1,1,25601,1,1,25600,s,42,75,0.5,0.2,0,0,0,0,0,0,25
1,1,1,26625,1,1,26624,s,42,78,0.5,0.2,0,0,0,0,0,0,26
1,1,1,27649,1,1,27648,s,42,81,0.5,0.2,0,0,0,0,0,0,27
1,1,1,28673,1,1,28672,s,42,84,0.5,0.2,0,0,0,0,0,0,28
1,1,1,29697,1,1,29696,s,42,87,0.5,0.2,0,0,0,0,0,0,29
1,1,1,30721,1,1,30720,s,42,90,0.5,0.2,0,0,0,0,0,0,30
1,1,1,31745,1,1,31744,s,42,93,0.5,0.2,0,0,0,0,0,0,31
1,1,1,32769,1,1,32768,s,42,96,0.5,0.2,0,0,0,0,0,0,32
1,1,1,33793,1,1,33792,s,42,99,0.5,0.2,0,0,0,0,0,0,33
1,1,1,34817,1,1,34816,s,42,102,0.5,0.2,0,0,0,0,0,0,34
1,1,1,35841,1,1,35840,s,42,105,0.5,0.2,0,0,0,0,0,0,35
