wx,wy,wz,dx,dy,dz,tot,sel,cols,collision,cdens,radius,vx,vy,vz,px,py,pz
1,1,1,9,1,1,1,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,9,1,1,2,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,9,1,1,3,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,9,1,1,4,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,9,1,1,5,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,9,1,1,6,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,9,1,1,7,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,9,1,1,8,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,33,1,1,32,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1025,1,1,1024,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,6145,1,1,6144,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,11265,1,1,11264,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,16385,1,1,16384,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,21505,1,1,21504,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,26625,1,1,26624,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,31745,1,1,31744,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,36865,1,1,36864,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,41985,1,1,41984,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,47105,1,1,47104,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,52225,1,1,52224,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,57345,1,1,57344,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,62465,1,1,62464,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,67585,1,1,67584,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,72705,1,1,72704,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,77825,1,1,77824,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,82945,1,1,82944,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,88065,1,1,88064,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,93185,1,1,93184,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,98305,1,1,98304,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,115713,1,1,115712,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,132097,1,1,132096,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,148481,1,1,148480,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,164865,1,1,164864,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,181249,1,1,181248,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,197633,1,1,197632,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,214017,1,1,214016,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,230401,1,1,230400,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,246785,1,1,246784,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,263169,1,1,263168,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,279553,1,1,279552,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,295937,1,1,295936,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,312321,1,1,312320,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,328705,1,1,328704,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,345089,1,1,345088,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,361473,1,1,361472,,15,0,0.5,0.2,0,0,0,0,0,0
