pnum: 1.0, ptype:0.0,live frame:10.0, x: 0.50, y: 1.72, z: 2.00
pnum: 2.0, ptype:0.0,live frame:10.0, x: 0.50, y: 1.94, z: 2.00
pnum: 3.0, ptype:0.0,live frame:10.0, x: 0.50, y: 2.16, z: 2.00
pnum: 4.0, ptype:0.0,live frame:10.0, x: 0.50, y: 2.38, z: 2.00
pnum: 5.0, ptype:0.0,live frame:10.0, x: 0.50, y: 2.60, z: 2.00
pnum: 6.0, ptype:0.0,live frame:10.0, x: 0.50, y: 2.82, z: 2.00
pnum: 7.0, ptype:0.0,live frame:10.0, x: 0.50, y: 3.04, z: 2.00
pnum: 8.0, ptype:0.0,live frame:10.0, x: 0.50, y: 3.26, z: 2.00
pnum: 9.0, ptype:0.0,live frame:221.0, x: 0.50, y: 1.72, z: 2.00
pnum: 10.0, ptype:0.0,live frame:221.0, x: 0.50, y: 1.94, z: 2.00
pnum: 11.0, ptype:0.0,live frame:221.0, x: 0.50, y: 2.16, z: 2.00
pnum: 12.0, ptype:0.0,live frame:221.0, x: 0.50, y: 2.38, z: 2.00
pnum: 13.0, ptype:0.0,live frame:221.0, x: 0.50, y: 2.60, z: 2.00
pnum: 14.0, ptype:0.0,live frame:221.0, x: 0.50, y: 2.82, z: 2.00
pnum: 15.0, ptype:0.0,live frame:221.0, x: 0.50, y: 3.04, z: 2.00
pnum: 16.0, ptype:0.0,live frame:221.0, x: 0.50, y: 3.26, z: 2.00
pnum: 17.0, ptype:0.0,live frame:432.0, x: 0.50, y: 1.72, z: 2.00
pnum: 18.0, ptype:0.0,live frame:432.0, x: 0.50, y: 1.94, z: 2.00
pnum: 19.0, ptype:0.0,live frame:432.0, x: 0.50, y: 2.16, z: 2.00
pnum: 20.0, ptype:0.0,live frame:432.0, x: 0.50, y: 2.38, z: 2.00
pnum: 21.0, ptype:0.0,live frame:432.0, x: 0.50, y: 2.60, z: 2.00
pnum: 22.0, ptype:0.0,live frame:432.0, x: 0.50, y: 2.82, z: 2.00
pnum: 23.0, ptype:0.0,live frame:432.0, x: 0.50, y: 3.04, z: 2.00
pnum: 24.0, ptype:0.0,live frame:432.0, x: 0.50, y: 3.26, z: 2.00
pnum: 25.0, ptype:0.0,live frame:643.0, x: 0.50, y: 1.72, z: 2.00
pnum: 26.0, ptype:0.0,live frame:643.0, x: 0.50, y: 1.94, z: 2.00
pnum: 27.0, ptype:0.0,live frame:643.0, x: 0.50, y: 2.16, z: 2.00
pnum: 28.0, ptype:0.0,live frame:643.0, x: 0.50, y: 2.38, z: 2.00
pnum: 29.0, ptype:0.0,live frame:643.0, x: 0.50, y: 2.60, z: 2.00
pnum: 30.0, ptype:0.0,live frame:643.0, x: 0.50, y: 2.82, z: 2.00
pnum: 31.0, ptype:0.0,live frame:643.0, x: 0.50, y: 3.04, z: 2.00
pnum: 32.0, ptype:0.0,live frame:643.0, x: 0.50, y: 3.26, z: 2.00
pnum: 33.0, ptype:0.0,live frame:854.0, x: 0.50, y: 1.72, z: 2.00
pnum: 34.0, ptype:0.0,live frame:854.0, x: 0.50, y: 1.94, z: 2.00
